signature	proposed_etiology	classification
SBS50	Possible sequencing artefact.	Artefact
SBS51	Possible sequencing artefact.	Artefact
SBS52	Possible sequencing artefact.	Artefact
SBS53	Possible sequencing artefact.	Artefact
SBS54	Possible sequencing artefact. Possible contamination with germline variants.	Artefact
SBS55	Possible sequencing artefact.	Artefact
SBS56	Possible sequencing artefact.	Artefact
SBS57	Possible sequencing artefact.	Artefact
SBS58	Potential sequencing artefact.	Artefact
SBS59	Possible sequencing artefact.	Artefact
SBS60	Possible sequencing artefact.	Artefact
SBS84	Activity of activation-induced cytidine deaminase (AID).	Other
SBS85	Indirect effects of activation-induced cytidine deaminase (AID) induced somatic mutagenesis in lymphoid cells.	Other
SBS86	Unknown chemotherapy treatment.	Unknown
SBS87	Thiopurine chemotherapy treatment, experimentally validated.	Electrophilic
SBS88	Exposure to E.coli bacteria carrying pks pathogenicity island, producing genotoxic compound colibactin	Other
SBS89	Unknown.	Unknown
SBS90	Duocarmycin exposure.	Electrophilic
SBS91	Unknown.	Unknown
SBS92	Associated with tobacco smoking.	Electrophilic
SBS93	Unknown.	Unknown
SBS94	Unknown.	Unknown
SBS95	Possible sequencing artefact.	Artefact
SBS96	Unknown.	Unknown
SBS97	Unknown.	Unknown
SBS98	Unknown.	Unknown
SBS99	Exposure to melphalan treatment. Associations were found with patient samples that had prior exposure to melphalan and experimental validation was conducted on human cell lines with melphalan exposure.	Electrophilic
